DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des) X,DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des) Y,DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des_2) X,DN TotalCurrent(IdVgn_300_0.004_HfO2n57_des_2) Y,DN TotalCurrent(IdVgn_300_0.004_Si3N4n119_des) X,DN TotalCurrent(IdVgn_300_0.004_Si3N4n119_des) Y,DN TotalCurrent(IdVgn_300_0.004_SiO2n113_des) X,DN TotalCurrent(IdVgn_300_0.004_SiO2n113_des) Y,DN TotalCurrent(IdVgn_300_0.008_HfO2n138_des) X,DN TotalCurrent(IdVgn_300_0.008_HfO2n138_des) Y,DN TotalCurrent(IdVgn_300_0.008_Si3N4n132_des) X,DN TotalCurrent(IdVgn_300_0.008_Si3N4n132_des) Y,DN TotalCurrent(IdVgn_300_0.008_SiO2n126_des) X,DN TotalCurrent(IdVgn_300_0.008_SiO2n126_des) Y,DN TotalCurrent(IdVgn_300_0.010_HfO2n157_des) X,DN TotalCurrent(IdVgn_300_0.010_HfO2n157_des) Y,DN TotalCurrent(IdVgn_300_0.010_Si3N4n151_des) X,DN TotalCurrent(IdVgn_300_0.010_Si3N4n151_des) Y,DN TotalCurrent(IdVgn_300_0.010_SiO2n145_des) X,DN TotalCurrent(IdVgn_300_0.010_SiO2n145_des) Y,DN TotalCurrent(IdVgn_300_0.012_HfO2n176_des) X,DN TotalCurrent(IdVgn_300_0.012_HfO2n176_des) Y,DN TotalCurrent(IdVgn_300_0.012_Si3N4n170_des) X,DN TotalCurrent(IdVgn_300_0.012_Si3N4n170_des) Y,DN TotalCurrent(IdVgn_300_0.012_SiO2n164_des) X,DN TotalCurrent(IdVgn_300_0.012_SiO2n164_des) Y,DP TotalCurrent(IdVgp_300_0.004_HfO2n57_des) X,DP TotalCurrent(IdVgp_300_0.004_HfO2n57_des) Y,DP TotalCurrent(IdVgp_300_0.004_Si3N4n119_des) X,DP TotalCurrent(IdVgp_300_0.004_Si3N4n119_des) Y,DP TotalCurrent(IdVgp_300_0.004_SiO2n113_des) X,DP TotalCurrent(IdVgp_300_0.004_SiO2n113_des) Y,DP TotalCurrent(IdVgp_300_0.008_HfO2n138_des) X,DP TotalCurrent(IdVgp_300_0.008_HfO2n138_des) Y,DP TotalCurrent(IdVgp_300_0.008_Si3N4n132_des) X,DP TotalCurrent(IdVgp_300_0.008_Si3N4n132_des) Y,DP TotalCurrent(IdVgp_300_0.008_SiO2n126_des) X,DP TotalCurrent(IdVgp_300_0.008_SiO2n126_des) Y,DP TotalCurrent(IdVgp_300_0.010_HfO2n157_des) X,DP TotalCurrent(IdVgp_300_0.010_HfO2n157_des) Y,DP TotalCurrent(IdVgp_300_0.010_Si3N4n151_des) X,DP TotalCurrent(IdVgp_300_0.010_Si3N4n151_des) Y,DP TotalCurrent(IdVgp_300_0.010_SiO2n145_des) X,DP TotalCurrent(IdVgp_300_0.010_SiO2n145_des) Y,DP TotalCurrent(IdVgp_300_0.012_HfO2n176_des) X,DP TotalCurrent(IdVgp_300_0.012_HfO2n176_des) Y,DP TotalCurrent(IdVgp_300_0.012_Si3N4n170_des) X,DP TotalCurrent(IdVgp_300_0.012_Si3N4n170_des) Y,DP TotalCurrent(IdVgp_300_0.012_SiO2n164_des) X,DP TotalCurrent(IdVgp_300_0.012_SiO2n164_des) Y
0,4.2546656e-09,0,4.2546656e-09,0,5.729344e-09,0,7.3694794e-09,0,1.7386639e-09,0,1.9390533e-09,0,1.8886943e-09,0,1.1915194e-09,0,1.2574538e-09,0,1.0043151e-09,0,6.2398166e-10,0,6.5865244e-10,0,5.5639865e-10,0,-1.6272048e-09,0,-1.8897729e-09,0,-1.8838554e-09,0,-9.5475061e-10,0,-9.3229471e-10,0,-1.1191552e-09,0,-6.4854534e-10,0,-6.5506902e-10,0,-7.9800625e-10,0,-5.5997556e-10,0,-5.6477945e-10,0,-6.4431855e-10
0.05,8.7000392e-09,0.05,8.7000392e-09,0.05,1.1128396e-08,0.05,1.4114405e-08,0.05,3.8276405e-09,0.05,4.1804881e-09,0.05,4.0672851e-09,0.05,2.7730412e-09,0.05,2.8698265e-09,0.05,2.2864701e-09,0.05,1.5381242e-09,0.05,1.5959748e-09,0.05,1.344877e-09,-0.05,-6.8299132e-09,-0.05,-7.6614235e-09,-0.05,-7.9501075e-09,-0.05,-4.4875805e-09,-0.05,-4.5690649e-09,-0.05,-5.4397067e-09,-0.05,-3.5084005e-09,-0.05,-3.6475015e-09,-0.05,-4.3363531e-09,-0.05,-3.132411e-09,-0.05,-3.2699382e-09,-0.05,-3.6373105e-09
0.1,1.7194214e-08,0.1,1.7194214e-08,0.1,2.0834428e-08,0.1,2.6220612e-08,0.1,8.1941145e-09,0.1,8.771627e-09,0.1,8.5625515e-09,0.1,6.2638388e-09,0.1,6.3574152e-09,0.1,5.0908317e-09,0.1,3.6847736e-09,0.1,3.7569059e-09,0.1,3.177572e-09,-0.1,-3.465651e-08,-0.1,-3.7788384e-08,-0.1,-3.9539732e-08,-0.1,-2.4371559e-08,-0.1,-2.5321138e-08,-0.1,-2.9847048e-08,-0.1,-2.039898e-08,-0.1,-2.1441262e-08,-0.1,-2.5239703e-08,-0.1,-1.8493096e-08,-0.1,-1.9520364e-08,-0.1,-2.1218988e-08
0.15,3.2439205e-08,0.15,3.2439205e-08,0.15,3.7507083e-08,0.15,4.6492083e-08,0.15,1.6971905e-08,0.15,1.7806315e-08,0.15,1.7555552e-08,0.15,1.3656879e-08,0.15,1.3618821e-08,0.15,1.1058257e-08,0.15,8.5376194e-09,0.15,8.5593793e-09,0.15,7.2979077e-09,-0.15,-1.9114533e-07,-0.15,-2.0399114e-07,-0.15,-2.1109597e-07,-0.15,-1.3957561e-07,-0.15,-1.4497866e-07,-0.15,-1.6509459e-07,-0.15,-1.1948698e-07,-0.15,-1.2428719e-07,-0.15,-1.4191833e-07,-0.15,-1.070543e-07,-0.15,-1.1135513e-07,-0.15,-1.1870948e-07
0.2,5.9454205e-08,0.2,5.9454205e-08,0.2,6.614227e-08,0.2,7.9912891e-08,0.2,3.3558803e-08,0.2,3.4535847e-08,0.2,3.470451e-08,0.2,2.8578505e-08,0.2,2.8043384e-08,0.2,2.3344438e-08,0.2,1.9111338e-08,0.2,1.8848159e-08,0.2,1.6275606e-08,-0.2,-9.1302002e-07,-0.2,-9.4730621e-07,-0.2,-9.6211093e-07,-0.2,-6.7243568e-07,-0.2,-6.6441288e-07,-0.2,-7.1884337e-07,-0.2,-5.5055595e-07,-0.2,-5.3525411e-07,-0.2,-5.9936945e-07,-0.2,-4.9747555e-07,-0.2,-4.8386387e-07,-0.2,-4.8222805e-07
0.25,1.0854039e-07,0.25,1.0854039e-07,0.25,1.1708362e-07,0.25,1.3670804e-07,0.25,6.4502198e-08,0.25,6.5280755e-08,0.25,6.6128099e-08,0.25,5.7550854e-08,0.25,5.5735509e-08,0.25,4.7557082e-08,0.25,4.0944259e-08,0.25,3.9785064e-08,0.25,3.4998473e-08,-0.25,-2.7384625e-06,-0.25,-2.7450258e-06,-0.25,-2.7050272e-06,-0.25,-2.0354966e-06,-0.25,-1.8720618e-06,-0.25,-1.931123e-06,-0.25,-1.6054654e-06,-0.25,-1.4562497e-06,-0.25,-1.5931081e-06,-0.25,-1.5385624e-06,-0.25,-1.3525621e-06,-0.25,-1.286685e-06
0.3,2.0561251e-07,0.3,2.0561251e-07,0.3,2.1656192e-07,0.3,2.4303425e-07,0.3,1.2609458e-07,0.3,1.258945e-07,0.3,1.2720856e-07,0.3,1.1598684e-07,0.3,1.1121563e-07,0.3,9.648297e-08,0.3,8.6722562e-08,0.3,8.3253854e-08,0.3,7.3212426e-08,-0.3,-5.8696581e-06,-0.3,-5.6469397e-06,-0.3,-5.3804461e-06,-0.3,-4.4137932e-06,-0.3,-3.8373614e-06,-0.3,-3.751701e-06,-0.3,-3.4358922e-06,-0.3,-2.9182329e-06,-0.3,-3.0518599e-06,-0.3,-3.3648781e-06,-0.3,-2.7736355e-06,-0.3,-2.4923362e-06
0.35,4.2769615e-07,0.35,4.2769615e-07,0.35,4.422745e-07,0.35,4.7655474e-07,0.35,2.6735036e-07,0.35,2.6472825e-07,0.35,2.6709736e-07,0.35,2.4919237e-07,0.35,2.3799206e-07,0.35,2.1131794e-07,0.35,1.9539485e-07,0.35,1.8642992e-07,0.35,1.6210251e-07,-0.35,-1.0148395e-05,-0.35,-9.5353291e-06,-0.35,-8.884152e-06,-0.35,-7.6115711e-06,-0.35,-6.3997042e-06,-0.35,-6.0906604e-06,-0.35,-5.8885547e-06,-0.35,-4.8145394e-06,-0.35,-4.8607742e-06,-0.35,-5.7832209e-06,-0.35,-4.57635e-06,-0.35,-3.9036688e-06
0.4,1.0039046e-06,0.4,1.0039046e-06,0.4,1.018654e-06,0.4,1.0585605e-06,0.4,6.6048408e-07,0.4,6.5374804e-07,0.4,6.5635164e-07,0.4,6.1039001e-07,0.4,5.8514331e-07,0.4,5.3610166e-07,0.4,4.9816422e-07,0.4,4.7560443e-07,0.4,4.1720278e-07,-0.4,-1.5125536e-05,-0.4,-1.4109186e-05,-0.4,-1.3032199e-05,-0.4,-1.127956e-05,-0.4,-9.2280798e-06,-0.4,-8.6772833e-06,-0.4,-8.668521e-06,-0.4,-6.8978912e-06,-0.4,-6.8221011e-06,-0.4,-8.616038e-06,-0.4,-6.523367e-06,-0.4,-5.3810779e-06
0.45,2.3621799e-06,0.45,2.3621799e-06,0.45,2.3781455e-06,0.45,2.4428402e-06,0.45,1.6096584e-06,0.45,1.5668092e-06,0.45,1.633739e-06,0.45,1.4882828e-06,0.45,1.3990474e-06,0.45,1.3230556e-06,0.45,1.2063351e-06,0.45,1.1171316e-06,0.45,1.0652436e-06,-0.45,-2.0853259e-05,-0.45,-1.9191678e-05,-0.45,-1.7375874e-05,-0.45,-1.5359822e-05,-0.45,-1.2257765e-05,-0.45,-1.1368215e-05,-0.45,-1.1669285e-05,-0.45,-9.0354165e-06,-0.45,-8.8642794e-06,-0.45,-1.1717536e-05,-0.45,-8.5535648e-06,-0.45,-6.8714981e-06
0.5,4.5220155e-06,0.5,4.5220155e-06,0.5,4.4134406e-06,0.5,4.5092633e-06,0.5,3.0745935e-06,0.5,2.887102e-06,0.5,3.1374117e-06,0.5,2.8531695e-06,0.5,2.5619742e-06,0.5,2.4861311e-06,0.5,2.2600168e-06,0.5,2.0269851e-06,0.5,2.0206097e-06,-0.5,-2.689816e-05,-0.5,-2.4558133e-05,-0.5,-2.2028313e-05,-0.5,-1.9619106e-05,-0.5,-1.5303521e-05,-0.5,-1.3983607e-05,-0.5,-1.4655227e-05,-0.5,-1.1171153e-05,-0.5,-1.0822455e-05,-0.5,-1.4869745e-05,-0.5,-1.0558022e-05,-0.5,-8.3056546e-06
0.55,7.6677695e-06,0.55,7.6677695e-06,0.55,7.2778578e-06,0.55,7.3451981e-06,0.55,5.3790583e-06,0.55,4.8058658e-06,0.55,5.0463701e-06,0.55,4.8964184e-06,0.55,4.1549891e-06,0.55,3.9570192e-06,0.55,3.7909971e-06,0.55,3.2573959e-06,0.55,3.3498685e-06,-0.55,-3.3224815e-05,-0.55,-3.0052608e-05,-0.55,-2.6655559e-05,-0.55,-2.3984334e-05,-0.55,-1.8319321e-05,-0.55,-1.6542176e-05,-0.55,-1.7628287e-05,-0.55,-1.3256974e-05,-0.55,-1.2676116e-05,-0.55,-1.8047778e-05,-0.55,-1.2546447e-05,-0.55,-9.688519e-06
0.6,1.2644072e-05,0.6,1.2644072e-05,0.6,1.1630297e-05,0.6,1.139817e-05,0.6,8.9460262e-06,0.6,7.3985681e-06,0.6,7.5041445e-06,0.6,7.8464484e-06,0.6,6.1232497e-06,0.6,5.710211e-06,0.6,6.012478e-06,0.6,4.823088e-06,0.6,4.9350388e-06,-0.6,-3.9897731e-05,-0.6,-3.5754604e-05,-0.6,-3.139787e-05,-0.6,-2.8400847e-05,-0.6,-2.1283481e-05,-0.6,-1.9047838e-05,-0.6,-2.0537722e-05,-0.6,-1.5303696e-05,-0.6,-1.4497661e-05,-0.6,-2.1198459e-05,-0.6,-1.4473128e-05,-0.6,-1.1022994e-05
0.65,1.8613194e-05,0.65,1.8613194e-05,0.65,1.6677511e-05,0.65,1.6269533e-05,0.65,1.3124682e-05,0.65,1.0464051e-05,0.65,1.0227406e-05,0.65,1.119397e-05,0.65,8.3904853e-06,0.65,7.6034312e-06,0.65,8.5508443e-06,0.65,6.5654492e-06,0.65,6.6193296e-06,-0.65,-4.6667825e-05,-0.65,-4.1671616e-05,-0.65,-3.6152172e-05,-0.65,-3.2917823e-05,-0.65,-2.4252865e-05,-0.65,-2.1497538e-05,-0.65,-2.3417003e-05,-0.65,-1.7321188e-05,-0.65,-1.6286879e-05,-0.65,-2.4363925e-05,-0.65,-1.635423e-05,-0.65,-1.2354194e-05
0.7,2.4886588e-05,0.7,2.4886588e-05,0.7,2.1826278e-05,0.7,2.107378e-05,0.7,1.7778823e-05,0.7,1.372747e-05,0.7,1.3097871e-05,0.7,1.4755608e-05,0.7,1.07837e-05,0.7,9.5700252e-06,0.7,1.1355347e-05,0.7,8.3543632e-06,0.7,8.2601812e-06,-0.7,-5.3570955e-05,-0.7,-4.7556003e-05,-0.7,-4.1024963e-05,-0.7,-3.7467566e-05,-0.7,-2.7197502e-05,-0.7,-2.3990065e-05,-0.7,-2.6298193e-05,-0.7,-1.9320244e-05,-0.7,-1.8064649e-05,-0.7,-2.753318e-05,-0.7,-1.8203238e-05,-0.7,-1.3695668e-05
0.75,3.2208958e-05,0.75,3.2208958e-05,0.75,2.7572633e-05,0.75,2.6176753e-05,0.75,2.2915909e-05,0.75,1.7224644e-05,0.75,1.608005e-05,0.75,1.8509887e-05,0.75,1.3262583e-05,0.75,1.1644883e-05,0.75,1.4374286e-05,0.75,1.0236613e-05,0.75,9.9909843e-06,-0.75,-6.0710151e-05,-0.75,-5.3415475e-05,-0.75,-4.584351e-05,-0.75,-4.2058957e-05,-0.75,-3.0120371e-05,-0.75,-2.6457514e-05,-0.75,-2.9150144e-05,-0.75,-2.1275528e-05,-0.75,-1.9812648e-05,-0.75,-3.0679328e-05,-0.75,-2.0018414e-05,-0.75,-1.5035683e-05
0.8,3.9759806e-05,0.8,3.9759806e-05,0.8,3.3760527e-05,0.8,3.1443519e-05,0.8,2.8319076e-05,0.8,2.1049944e-05,0.8,1.9125484e-05,0.8,2.2315108e-05,0.8,1.5818491e-05,0.8,1.3738641e-05,0.8,1.7563886e-05,0.8,1.2251287e-05,0.8,1.1723166e-05,-0.8,-6.7820576e-05,-0.8,-5.9177647e-05,-0.8,-5.0638754e-05,-0.8,-4.6708108e-05,-0.8,-3.300773e-05,-0.8,-2.8897776e-05,-0.8,-3.1960454e-05,-0.8,-2.3176792e-05,-0.8,-2.1525705e-05,-0.8,-3.3801411e-05,-0.8,-2.180476e-05,-0.8,-1.6367068e-05
0.85,4.7295939e-05,0.85,4.7295939e-05,0.85,3.9767783e-05,0.85,3.6552439e-05,0.85,3.3829366e-05,0.85,2.4881425e-05,0.85,2.203336e-05,0.85,2.6159362e-05,0.85,1.8343926e-05,0.85,1.5812592e-05,0.85,2.0854005e-05,0.85,1.4261432e-05,0.85,1.3437828e-05,-0.85,-7.4856672e-05,-0.85,-6.4820444e-05,-0.85,-5.5397633e-05,-0.85,-5.1373042e-05,-0.85,-3.5879491e-05,-0.85,-3.1330243e-05,-0.85,-3.4719687e-05,-0.85,-2.5024368e-05,-0.85,-2.3211149e-05,-0.85,-3.6930365e-05,-0.85,-2.3553556e-05,-0.85,-1.7705079e-05
0.9,5.5164339e-05,0.9,5.5164339e-05,0.9,4.5672736e-05,0.9,4.1471337e-05,0.9,3.9240622e-05,0.9,2.8649842e-05,0.9,2.492517e-05,0.9,2.9910966e-05,0.9,2.083147e-05,0.9,1.7976293e-05,0.9,2.4082551e-05,0.9,1.6310216e-05,0.9,1.5177384e-05,-0.9,-8.1881531e-05,-0.9,-7.0371386e-05,-0.9,-6.0141032e-05,-0.9,-5.6043627e-05,-0.9,-3.8728492e-05,-0.9,-3.3772674e-05,-0.9,-3.7449354e-05,-0.9,-2.6838595e-05,-0.9,-2.4852835e-05,-0.9,-4.0047727e-05,-0.9,-2.5276897e-05,-0.9,-1.901265e-05
0.95,6.316844e-05,0.95,6.316844e-05,0.95,5.1715482e-05,0.95,4.623153e-05,0.95,4.45801e-05,0.95,3.2361775e-05,0.95,2.7857803e-05,0.95,3.3615777e-05,0.95,2.3309212e-05,0.95,2.0114687e-05,0.95,2.7329675e-05,0.95,1.8326157e-05,0.95,1.6874775e-05,-0.95,-8.8918076e-05,-0.95,-7.5948144e-05,-0.95,-6.4873925e-05,-0.95,-6.072622e-05,-0.95,-4.1577734e-05,-0.95,-3.6190729e-05,-0.95,-4.0198806e-05,-0.95,-2.8656539e-05,-0.95,-2.6425311e-05,-0.95,-4.3153024e-05,-0.95,-2.699395e-05,-0.95,-2.0265613e-05
1,7.1273457e-05,1,7.1273457e-05,1,5.7871224e-05,1,5.1100934e-05,1,4.9881725e-05,1,3.6020135e-05,1,3.071895e-05,1,3.7333506e-05,1,2.577409e-05,1,2.232643e-05,1,3.0586762e-05,1,2.0441749e-05,1,1.8584794e-05,-1,-9.6100353e-05,-1,-8.1618549e-05,-1,-6.96189e-05,-1,-6.5495215e-05,-1,-4.4496197e-05,-1,-3.8563887e-05,-1,-4.2979328e-05,-1,-3.0423364e-05,-1,-2.7925518e-05,-1,-4.6167841e-05,-1,-2.8659357e-05,-1,-2.1461717e-05

